,Unnamed: 0,human_text,machine_text,title,tags,undername,href,views,rating
0,0,"


7 октября 2022 года Еврокомиссия в рамках восьмого пакета санкций против России выпустила рекомендацию относительно активов российских инвесторов. Согласно этому документу, компетентные органы каждого члена Евросоюза — регуляторы или министерства финансов — могут разрешить в своей стране разморозку денег и активов, принадлежащих Национальному расчетному депозитарию.
    Никита Компанищенко  частный инвестор  Профиль автора 

 КУРСФинансовая грамотность для взрослыхКак перестать беспокоиться о деньгах, наладить с ними отношения и двигаться к целям и мечтам �зучить  
Что случилось
В начале марта 2022 года европейские депозитарии Euroclear и Clearstream заблокировали счета Национального расчетного депозитария, из-за чего часть бумаг российских инвесторов оказалась заморожена. 
В начале лета Евросоюз объявил о прямых санкциях против НРД, которые, по сути, узаконили ранее введенную финансовую блокировку со стороны Euroclear и Clearstream. Финансовый мост между Россией и Европой был окончательно разрушен, замороженными оказались активы российских инвесторов на сумму более 70 млрд евро. 
Тем не менее уже в середине августа Еврокомиссия начала искать пути решения, выдвинув НРД два условия для разблокировки, которые российская организация в итоге выполнила. Это позволило ЕС в начале октября сделать следующий шаг навстречу — он опубликовал разрешение на разморозку зависших активов инвесторов. 
Какие активы россиян могут быть разморожены:
 Ценные бумаги. Непосредственно деньги, которые хранились на счетах в НРД. Деньги, полученные в виде дивидендов и купонов.
Что делать инвесторам 
Сегодняшнее решение Еврокомиссии кратно увеличивает вероятность разблокировки активов российских инвесторов. Теперь эта рекомендация закреплена в обязательном европейском акте — Official Journal of the European Union. Но есть две проблемы:
 Чтобы разморозку активов одобрили, российским инвесторам необходимо получить отдельное разрешение от европейских регуляторов. Вероятно, речь идет о Бельгийско",0,Еврокомиссия одобрила разморозку активов российских инвесторов,"['акции', 'актуальное', 'инвестиции', 'новости для инвесторов']",Еврокомиссия одобрила разморозку активов российских инвесторов,https://journal.tinkoff.ru//news/review-cancel-sanc/,2000,1
1,1,"
     Степан  спросил в Сообществе Т—Ж  Началась частичная мобилизация, и совершенно непонятно, как вернуть деньги за билет или турпутевку, если пришла повестка. Что об этом говорит закон? А что — авиакомпании и туроператоры? 

    Анастасия Корнилова  юрист  Профиль автора 

О том, как поступать с путевками и авиабилетами во время мобилизации, в законе ничего не сказано. Официально мобилизацию объявили впервые с 1941 года, поэтому алгоритм действий пока не разработали. Вероятнее всего, происходящее посчитают форс-мажором. Еще власти могут принять поправки в законы, как уже было во время пандемии. Но пока этого не произошло. Расскажу, что известно на данный момент. Я обновлю статью, если ситуация изменится.
Какие правила возврата денег за авиабилеты прописаны в законе

Правила возврата денег зависят от тарифа — он бывает возвратным и невозвратным. Во втором случае деньги получится вернуть, только если есть особые обстоятельства. Расскажу подробнее. 
  �нформация о тарифах авиакомпаний:«Аэрофлот»,«Уральские авиалинии»,Nordwind,S7,Utair 

Добровольный отказ — это когда у клиента нет уважительной причины, чтобы не лететь. В этом случае деньги вернут, только если в тарифе сказано, что билет подлежит возврату. Сколько — зависит от того, когда пассажир обратился в авиакомпанию:
 Не позднее чем за 24 часа до окончания регистрации на рейс — должны вернуть полную стоимость. Но авиакомпания может удержать аэропортовые сборы. Менее чем за 24 часа до окончания регистрации на рейс, но до того, как регистрация завершилась, — вернут деньги за билет, но удержат неустойку 25% и аэропортовые сборы. Авиакомпания может уменьшить размер неустойки по своему желанию. После окончания регистрации возврат не положен. Но некоторые авиакомпании все равно предлагают такую возможность. Например, «Аэрофлот» обещает вернуть деньги даже после того, как регистрация завершилась, если тариф билета — «Максимум»

Вынужденный возврат — если есть уважительная причина, которую подтверждают документами. При",0,"Как вернуть деньги за авиабилеты и туры, если пришла повестка?","['актуальное', 'путешествия', 'право', 'мобилизация']","Как вернуть деньги за авиабилеты и туры, если пришла повестка?",https://journal.tinkoff.ru//dengi-za-bilety-mobilization/,716,1
2,2,"

    Лиана Липанова  разобралась в правилах аккредитации  Профиль автора 
1 октября 2022 года вступил в силу новый порядок получения аккредитации �Т-компаний.
Получать ее необязательно, но с аккредитацией предприятия могут претендовать на налоговые и другие льготы. Аккредитацию дают бесплатно: не нужна даже госпошлина за подачу заявления.
До 1 августа 2022 года, когда Минцифры приостановило аккредитацию по старым правилам, для ее получения �Т-компании достаточно было профильного кода ОКВЭД в качестве основного. Ведомство решило изменить порядок, «чтобы избегать недобросовестного применения льгот». С 10 октября прием заявок возобновят.Рассказываем, что изменилось в правилах получения.   Ну и что? 28.09.22 Работодатели и мобилизация: что ждет бизнес в октябре   Как зарабатывать на своем делеЛучшие материалы о бизнесе в вашей почте дважды в месяц. БесплатноПодписаться Кто может получить аккредитациюОбязательных условий для получения аккредитации четыре: профильные коды ОКВЭД, минимум 30% доли выручки от �Т-услуг, информация об �Т на сайте и раскрытие налоговой тайны.Получить аккредитацию может только компания, �П это недоступно. Глава Минцифры Максут Шадаев заявил, что крупные компании для получения аккредитации могут выделить профильные подразделения в дочернюю �Т-компанию — это не будет расцениваться как дробление бизнеса. Главное, чтобы новая компания не возникла в ходе реорганизации, иначе она не сможет получить налоговые льготы.У компании в ЕГРЮЛ должен быть указан профильный код ОКВЭД. До нововведений таких кодов было 7, теперь их 31.Профильный код должен быть указан как основной, но некоторые виды деятельности из списка должны сопровождаться дополнительными. Допустим, если основной ОКВЭД — 46.51.2, оптовая торговля ПО, то в качестве дополнительного должен быть указан, например, 62.01 — разработка ПО.    /okved/    Какие коды ОКВЭД действуют в 2022 году  Еще одно общее условие получения аккредитации — доля выручки от �Т-услуг должна быть минимум 30% от общей по ",0,Как �Т-компании получить аккредитацию по новым правилам,"['бизнес', 'актуальное', 'новости для бизнеса']",1 октября 2022 года вступил в силу новый порядок получения аккредитации �Т-компаний.,https://journal.tinkoff.ru//news/it-accreditation-new/,1000,3
3,3,"

    Лиана Липанова  следит за новостями  Профиль автора 
«Яндекс-маркет» откроет доступ к разделу «Ресейл» всем продавцам: с 17 октября они смогут торговать на маркетплейсе подержанными, уцененными и витринными образцами.
«Ресейл» появился на «Маркете» в апреле 2022 года. До сих пор в нем продавались только смартфоны и сумки люксовых брендов от избранных продавцов. Сейчас в «Ресейле» можно разместить товары для дома, строительства и ремонта, автозапчасти, шины, одежду, бытовую технику, полученную по трейд-ину, или редкие товары, которые больше не производятся, сообщили Тинькофф Журналу в компании. Например, в разделе есть некоторые серии конструктора «Лего». 
Торговать на маркетплейсе могут как юрлица, так и �П и самозанятые. Маркетплейс предварительно проверит продавцов, которые хотят торговать подержанными товарами, — пока что в компании не сообщили, как именно это будут делать.                Так выглядит раздел «Ресейл» для подержанных товаров на «Яндекс-маркете» Партнеры, работающие с «Маркетом» по схеме FBY, когда хранением и доставкой занимается сам маркетплейс, сначала смогут продавать в «Ресейле» только одежду и аксессуары, а в будущем и другие товары. Те, кто работает по схемам FBS, «Экспресс» или DBS, смогут торговать товарами любых категорий раздела.Напомним, что при модели FBS хранением и доставкой до сортировочного центра занимается сам продавец, а доставкой покупателю — «Маркет». В схеме «Экспресс» продавец занимается только хранением и упаковкой, а забирает и отвозит заказ покупателю сам маркетплейс. При DBS продавец делает все сам — от хранения до доставки покупателю.   /fbs-ili-fbo/    «Свой склад нужен ради двух месяцев в году»: где выгоднее хранить товары для маркетплейсов                 Схемы работы продавцов с «Яндекс-маркетом» Продавцы смогут указать в карточке информацию о внешнем виде товара — новый, отличный или хороший, — а в описании рассказать о его состоянии и особенностях. Кроме раздела «Ресейл» ссылка на подержанный товар будет ото",0,«Яндекс-маркет» разрешил торговать подержанными товарами всем продавцам,"['актуальное', 'бизнес', 'маркетплейс', 'новости для бизнеса']","«Яндекс-маркет» откроет доступ к разделу «Ресейл» всем продавцам: с 17 октября они смогут торговать на маркетплейсе подержанными, уцененными и витринными образцами.",https://journal.tinkoff.ru//news/bu-tovary-na-markete/,1000,0
4,4,"

    Артем Мазанов  следит за новостями  Профиль автора 
Евразийская экономическая комиссия приняла два решения, которые касаются беспошлинного ввоза товаров гражданами в Россию.
Комиссия продлила лимит беспошлинного ввоза покупок из-за границы и уточнила, как считается пошлина при превышении этого порога. Решения распространяются на ввоз товаров в Россию, Беларусь, Киргизию и Казахстан: эти страны входят в Евразийский экономический союз. 
Также в ЕАЭС состоит Армения, но для нее лимит остался прежним — 500 € и 25 кг. �нформация ниже на эту страну не распространяется.   КУРСФинансовая грамотность для взрослыхКак перестать беспокоиться о деньгах, наладить с ними отношения и двигаться к целям и мечтам �зучить  Сохранился лимит на ввоз товаров, купленных за рубежом для личного пользования До 28 апреля 2022 года лимит беспошлинного ввоза покупок из-за границы составлял 500 € и 25 кг. Затем его временно увеличили до 1000 € и 31 кг. Предполагалось, что правила будут действовать до 1 октября 2022 года. Теперь лимит продлили до 1 апреля 2023 года. Это означает, что в Россию и другие страны ЕАЭС до этой даты можно ввозить товары для личного пользования стоимостью до 1000 € и не платить за них пошлину. Они также должны весить менее 31 кг — вес выше тоже облагается пошлиной. Лимиты распространяются на ввоз покупок по воде или суше: пешком, на машине, поезде или автобусе, на морском или речном судне. Лимиты для самолетов не изменились: 10 000 € и 50 кг. Все лимиты можно посмотреть в этой таблице. Порог в 1000 € также сохранился и для покупок в зарубежных интернет-магазинах. Требования к весу посылки остались прежними — не больше 31 кг. Но нужно помнить о санкциях, которые ввели разные страны. Например, ЕС запретил вывозить в Россию товары дороже 300 €. Но есть исключения: у компьютеров и смартфонов лимит выше — 750 €, у музыкальных инструментов — 1500 €. Прежде чем покупать товары за границей, лучше изучить все актуальные запреты.  Сообщество 09.09.22 Почему на российской гран",0,Лимит беспошлинного ввоза покупок из-за границы в 1000 € продлили до 1 апреля 2023 года,"['актуальное', 'таможня', 'покупки', 'право']","Евразийская экономическая комиссия приняла два решения, которые касаются беспошлинного ввоза товаров гражданами в Россию.",https://journal.tinkoff.ru//news/poshlina-2023/,2000,4
5,5,"

    Артем Мазанов  следит за новостями   Профиль автора 
Минцифры запустило на госуслугах сервис, который будет сообщать о производственных дефектах автомобиля через личный кабинет.
Отзывная кампания — это возврат автомобиля для ремонта или доработки. Ее запускают, когда дефекты выявили уже после начала продаж. Владелец автомобиля не платит за такой ремонт.
Уведомления об отзывных кампаниях будут автоматически приходить владельцу машины в личный кабинет на госуслугах. У пользователя должна быть подтвержденная учетная запись и данные об автомобиле в личном кабинете. Чтобы добавить автомобиль в личный кабинет, нужно перейти в подраздел «Транспорт» раздела «Документы» и там кликнуть на кнопку «Запросить». Данные автоматически загрузятся в профиль. Но для этого автомобиль должен стоять на учете в Г�БДД.В уведомлении на госуслугах укажут причину отзывной кампании. Например, это могут быть дефекты подушек безопасности или неправильная работа какого-нибудь датчика. Автовладельцу также сообщат, куда обратиться, чтобы сдать автомобиль на бесплатный ремонт. Скорее всего, машину придется доставить на СТО самостоятельно.   /otozvali/    Как отремонтировать машину по отзывной кампании  Автоматические уведомления об отзыве будут приходить не по всем автомобилям. Чтобы данные передавались на госуслуги, у автопроизводителя там должен быть личный кабинет — а он, возможно, есть не у всех. Списки машин, подпадающих под отзывную кампанию, публикуют на сайтах производителей и Росстандарта.Многие автопроизводители ушли из России. Об отзывных кампаниях на их продукцию нужно будет узнавать из зарубежных источников, а устранять неисправность, возможно, придется за свой счет.  Новости, которые касаются всех, — в нашем телеграм-канале. Подписывайтесь, чтобы быть в курсе происходящего: @tinkoffjournal. 

",0,На госуслугах начали уведомлять водителей об отзывных кампаниях автопроизводителей,"['актуальное', 'новости для автовладельцев', 'транспорт', 'авто']","Минцифры запустило на госуслугах сервис, который будет сообщать о производственных дефектах автомобиля через личный кабинет.",https://journal.tinkoff.ru//news/otozvali-auto/,595,1
6,6,"

После начала частичной мобилизации Россию только покинули более 200 тысяч человек, еще 200 тысяч человек, по данным Минобороны, прибыли в российские вооруженные силы. Чтобы помочь питомцам мобилизованных или выехавших из страны, некоторые фонды и волонтеры запустили благотворительные инициативы.
 Тинькофф Журнал предупреждает: не следует отдавать свое животное первому попавшемуся волонтеру Если питомец породистый, с вами могут связаться мошенники, которые захотят перепродать его или использовать для разведения. Лучше отвезти питомца в новую семью самостоятельно, чтобы проверить условия проживания. Если все в порядке, стоит подписать договор о безвозмездной или возмездной передаче животного. У благотворительного проекта «Путь домой» есть документ, который можно использовать при передаче животного на временное содержание. В него можно при желании добавлять необходимые пункты. 
   О важномЭта статья — часть программы поддержки благотворителей Тинькофф Журнала «О важном». В рамках программы мы выбираем темы в сфере благотворительности и публикуем истории о работе фондов, жизни их подопечных и значимых социальных проектах. Почитать все материалы о тех, кому нужна помощь, и тех, кто помогает, можно в потоке «О важном». 
   Программа опеки над домашними животными для мобилизованных «Будь как дома, Мурзик!» Фонд «Я свободен» запустил программу опеки после роста числа выброшенных животных с 21 сентября. НКО помогает людям, которые решили забрать питомцев и заботиться о них до возвращения хозяевГде помогает: вся РоссияКак оставить заявку: на сайте     Телеграм-канал «Помощь животным мобилизованных» Администраторы модерируют заявки и в первую очередь публикуют запросы от мобилизованных. В канале больше 7 тысяч участников: люди готовы принять к себе на передержку не только собак и кошек, но и крыс, птиц, рыбок и даже растенияГде помогает: вся РоссияКак оставить заявку: через бот     Телеграм-чат «Помощь животным на время мобилизации» Объявления не проходят модерацию, поэтому ",0,"7 инициатив, где готовы помочь животным мобилизованных","['мобилизация', 'армия', 'актуальное', 'животные', 'благотворительность']","7 инициатив, где готовы помочь животным мобилизованных",https://journal.tinkoff.ru//short/animals-shouldnt-suffer/,2000,0
7,7,"


От новостей, связанных с нефтью, на рынке зависит очень многое. Особенно это касается фондового рынка РФ, многие голубые фишки на котором прямо или косвенно связаны с поставками нефти и ценами на нее. 
Совсем недавно темпы добычи нефти планировалось наращивать после крупного снижения квот в начале пандемии. Но от заседания ОПЕК+ рынок ждал снижения квот, причем довольно крупного. Одно только это ожидание значительно сказалось на стоимости нефти. 
    Вадим Кизимов  частный инвестор  Профиль автора 

 Как делать деньги из денегЛучшее об инвестициях за неделю — в вашей почте каждый понедельник. Бесплатно.Подписаться 
Планы и заявления до заседания
Страны ОПЕК+ 5 октября впервые с начала пандемии провели заседание министров в очном формате. По предварительным данным, в итоге заседания должно было быть принято решение о сокращении объемов добычи нефти: рынок ожидал сокращения добычи на 2 млн баррелей в сутки. Впрочем, должно было состояться обсуждение и менее радикальных мер — сокращения добычи только в пределах 1—1,5 млн баррелей в сутки. 
По расчетам, такие меры могут привести к восстановлению цен на нефть выше 100 $ за баррель. Напомним, что также должны быть уточнены значения потолка на российскую нефть в соответствии с новым пакетом европейских санкций против России. 
Позиция Венгрии могла привести к отсутствию потолка цен на трубопроводную нефть. В любом случае сокращение добычи нефти с последующим ростом цен должно минимизировать ущерб от санкций или привести к их отмене. �нициатором изменений выступала также Саудовская Аравия. 
Администрация президента США Байдена выступала против снижения объемов добычи нефти и старалась убедить Саудовскую Аравию, Объединенные Арабские Эмираты и Кувейт проголосовать против снижения добычи. Высокие цены на нефть невыгодны США, кроме всего прочего, из-за недавнего опустошения запасов страны до минимумов 1980-х годов.
В ответ на просьбы Байдена повысить добычу в Saudi Aramco заявили об ограниченных мощностях. При этом реальная ",0,Страны ОПЕК+ сократили добычу нефти: что это значит,"['ОПЕК', 'актуальное', 'инвестиции', 'нефть', 'новости для инвесторов']",Страны ОПЕК+ сократили добычу нефти: что это значит,https://journal.tinkoff.ru//news/news-opek/,6000,1
8,8,"

    Дмитрий Новик  не готов смотреть «Ютуб» в качестве 360p  Профиль автора 
CDN-серверы компаний помогали пользователям из России быстрее загружать видео, картинки и просматривать страницы.
Об уходе компаний заявили представители российской точки обмена трафиком MSK-IX — крупнейшей в стране. Компания Google убрала часть своих серверов из России еще в марте, о таких же мерах Microsoft и Netflix стало известно в конце сентября. Разбираемся, что это значит, как CDN влияет на доступ к контенту и чего ждать обычным пользователям.
 КУРСФинансовая грамотность для взрослыхКак перестать беспокоиться о деньгах, наладить с ними отношения и двигаться к целям и мечтам �зучить   Что произошлоТочки обмена трафиком поддерживают стабильную работу интернета — они нужны для взаимодействия между операторами сети. �х используют владельцы соцсетей, онлайн-кинотеатров и производители ПО. Они размещают свое оборудование в таких точках по всему миру, в том числе и в России, чтобы контент доходил до пользователей с минимальной задержкой.MSK-IX — самая крупная точка обмена трафиком в России. Международные компании размещали там свои CDN-серверы. Несколько серверов в инфраструктуре одной большой точки позволяли быстрее обслуживать сотни тысяч пользователей по всей стране.По словам директора MSK-IX Евгения Морозова, Netflix и Microsoft — не единственные, а «наиболее яркие представители ушедших компаний». Он не уточнил их названия, но, вероятно, речь идет об �Т-компаниях, которые приостановили свою деятельность в России или полностью закрыли офисы. Таких компаний десятки, включая Spotify, Apple и другие.   /uydi-no-ne-seychas/    Приостановили работу: как компании покидают российский рынок  Как работает CDN и почему это важно для скорости сервисовВ интернете скорость загрузки зависит от расстояния, которое проходит сигнал. Если сервер-источник расположен в Европе, то пользователь из Москвы получит информацию быстрее, чем житель Хабаровска.Для сокращения времени загрузки часть информации может",0,"Google, Microsoft и Netflix убирают серверы, которые ускоряли сервисы в России: чем это грозит","['сервисы', 'актуальное', 'технологии', 'новости технологий', 'интернет']","CDN-серверы компаний помогали пользователям из России быстрее загружать видео, картинки и просматривать страницы.",https://journal.tinkoff.ru//news/slow-google-microsoft/,11000,0
9,9,"
     Кирилл Демидов  спросил в Сообществе Т—Ж  Я индивидуальный предприниматель. По всем параметрам подхожу под призыв и все время думаю: а что мне делать с бизнесом? Оставить не на кого. Закрываться? 

    Анастасия Корнилова  юрист  Профиль автора 

Действительно, один из вариантов — закрыть свой бизнес. Но можно попробовать решить вопрос менее радикально, чтобы вы смогли продолжить деятельность. 
Можно ли вести бизнес из армии
По указу президента мобилизованным присваивают статус военнослужащих, которые проходят службу по контракту. Соответственно, у них есть права и обязанности, указанные в законе о статусе военнослужащих. 

Так, военнослужащий не вправе заниматься предпринимательской деятельностью лично или через доверенных лиц. Управлять коммерческими организациями тоже нельзя, если только это не входит в должностные обязанности.
  абз. 2 п. 7 ст. 10 закона о статусе военнослужащих 


То есть пока �П в армии, бизнесом ни лично, ни через доверенное лицо ему заниматься нельзя. За это предусмотрена дисциплинарная ответственность.
 Например, в Нальчике военнослужащего привлекли к дисциплинарной ответственности — объявили выговор за совершение коррупционного правонарушения — из-за учреждения ООО.Нарушитель с наказанием не согласился и обжаловал приказ о привлечении к дисциплинарной ответственности. Но суды трех инстанций сказали, что военнослужащий нарушил закон и должен за это ответить.
  Дело № 88а-1973/2021PDF, 82,6 КБ 

Уходить на военную службу и сохранять статус индивидуального предпринимателя не имеет смысла. �П — сам себе бизнес, и передача прав на ведение абсолютно всех дел будет противоречить статусу предпринимателя. Если в качестве �П зарегистрирован А. А. �ванов, а заниматься делами будет В. В. Петров, получится, что у �ванова никакого бизнеса в принципе нет.
Еще индивидуальный предприниматель сам подписывает все первичные документы, например договоры, акты, кассовые чеки, кроме счетов-фактур. Он не может передоверить эти функции кому-то другому. 

Сох",0,"Что делать, если призовут на службу, а бизнес оставить не на кого?","['актуальное', 'бизнес', 'право', 'мобилизация']","Что делать, если призовут на службу, а бизнес оставить не на кого?",https://journal.tinkoff.ru//business-prizyv/,5000,2
